 tag   molecule                 #lines   lg(Q(1000))  lg(Q(500))   lg(Q(300))   lg(Q(225))   lg(Q(150))    lg(Q(75))  lg(Q(37.5))   lg(Q(18.75))  lg(Q(9.375))  lg(Q(5.000))  lg(Q(2.725))
 52520 HCCC-13-N, v7=2             261          NaN       3.3620       3.1401       3.0151       2.8391       2.5382       2.2376       1.9374       1.6380          NaN          NaN
 52521 HC-13-CCN, v6=1             196          NaN       3.3738       3.1519       3.0270       2.8509       2.5500       2.2494       1.9492       1.6498          NaN          NaN
 52522 HCC-13-CN, v6=1             196          NaN       3.3620       3.1401       3.0152       2.8391       2.5383       2.2376       1.9374       1.6381          NaN          NaN
 52523 HCCC-13-N, v6=1             196          NaN       3.3620       3.1401       3.0151       2.8391       2.5382       2.2376       1.9374       1.6380          NaN          NaN
 52524 HC-13-CCN, v5=1/v7=3        470          NaN       3.3738       3.1519       3.0270       2.8509       2.5500       2.2494       1.9492       1.6498          NaN          NaN
 52525 HCC-13-CN, v5=1/v7=3        468          NaN       3.3620       3.1401       3.0152       2.8391       2.5383       2.2376       1.9374       1.6381          NaN          NaN
 52526 HCCC-13-N, v5=1/v7=3        592          NaN       3.3620       3.1401       3.0152       2.8391       2.5383       2.2376       1.9374       1.6381          NaN          NaN
 52527 SiC2, v=0                  2623          NaN          NaN       3.7167       3.5283       3.2634       2.8113       2.3603       1.9104       1.4628       1.0665       0.7344
 52528 SiC2, v3=1                 1216          NaN          NaN       3.7167       3.5283       3.2634       2.8113       2.3603       1.9104       1.4628       1.0665       0.7344
 52529 SiC2, v3=2                  746          NaN          NaN       3.7167       3.5283       3.2634       2.8113       2.3603       1.9104       1.4628       1.0665       0.7344
 52530 C3O, v5=1                   221          NaN          NaN       3.1140       2.9891       2.8130       2.5122       2.2115       1.9114       1.6121          NaN          NaN
 52531 HC-13-CCN, v6=v7=1          388          NaN       3.3738       3.1519       3.0270       2.8509       2.5500       2.2494       1.9492       1.6498          NaN          NaN
 52532 HCC-13-CN, v6=v7=1          384          NaN       3.3738       3.1519       3.0270       2.8509       2.5500       2.2494       1.9492       1.6498          NaN          NaN
 52533 HCCC-13-N, v6=v7=1          424          NaN       3.3738       3.1519       3.0270       2.8509       2.5500       2.2494       1.9492       1.6498          NaN          NaN
 52534 HCCC-13-N, v4=1              96          NaN       3.3738       3.1519       3.0270       2.8509       2.5500       2.2494       1.9492       1.6498          NaN          NaN
 52535 HCCC-13-N, v4=v7=1          192          NaN       3.3738       3.1519       3.0270       2.8509       2.5500       2.2494       1.9492       1.6498          NaN          NaN
 52536 AlCCH                       101          NaN          NaN       3.0997       2.9746       2.7985       2.4976       2.1970       1.8968       1.5976          NaN          NaN
 53501 AlNC                         85          NaN          NaN       4.2749       4.1499       3.9737       3.6728       3.3723       3.0723       2.7735          NaN          NaN
 53502 SiCCH                       862          NaN          NaN       3.8954       3.7504       3.5383       3.1587       2.7888       2.4661       2.1684          NaN          NaN
 53503 HCC-13-C-13-N, v=0          133          NaN          NaN       3.1420       3.0170       2.8410       2.5401       2.2395       1.9393       1.6399          NaN          NaN
 53504 HC-13-CC-13-N, v=0          137          NaN          NaN       3.1538       3.0289       2.8528       2.5520       2.2513       1.9511       1.6517          NaN          NaN
 53505 AlCN                         40          NaN          NaN       4.3508       4.2257       4.0495       3.7486       3.4480       3.1478       2.8486          NaN          NaN
 53506 HCCC-13-N-15                113          NaN          NaN       3.1527       3.0277       2.8517       2.5508       2.2502       1.9499       1.6505          NaN          NaN
 53507 t-HC3O                     8688          NaN          NaN       4.7146       4.5207       4.2479       3.7867       3.3306       2.8776       2.4272          NaN          NaN
 53508 HC-13-C-13-CN, v=0           99          NaN          NaN       3.1535       3.0286       2.8525       2.5517       2.2510       1.9508       1.6514          NaN          NaN
 53509 SiC-13-C                   1970          NaN          NaN       4.0365       3.8481       3.5831       3.1311       2.6800       2.2301       1.7823          NaN          NaN
 53510 Si-29-C2                   1470          NaN          NaN       3.7229       3.5346       3.2696       2.8176       2.3665       1.9167       1.4689          NaN          NaN
 53511 DC-13-CCN                   130          NaN          NaN       3.1826       3.0577       2.8816       2.5808       2.2801       1.9798       1.6803          NaN          NaN
 53512 DCC-13-CN                   128          NaN          NaN       3.1722       3.0472       2.8712       2.5703       2.2696       1.9694       1.6699          NaN          NaN
 53513 DCCC-13-N                   129          NaN          NaN       3.1727       3.0477       2.8717       2.5708       2.2701       1.9699       1.6704          NaN          NaN
 53514 DC3N-15                     130          NaN          NaN       3.1834       3.0584       2.8824       2.5815       2.2808       1.9805       1.6810          NaN          NaN
 53515 C2H3CN, v=0               18561          NaN          NaN       5.1595       4.8766       4.5143       3.9993       3.5418       3.0909       2.6410          NaN          NaN
 53516 C-13-CCO                     98          NaN          NaN       3.1304       3.0054       2.8294       2.5285       2.2279       1.9277       1.6284          NaN          NaN
 53517 CC-13-CO                     96          NaN          NaN       3.1164       2.9915       2.8154       2.5146       2.2140       1.9138       1.6145          NaN          NaN
 53518 CCC-13-O                     96          NaN          NaN       3.1152       2.9902       2.8142       2.5133       2.2127       1.9126       1.6133          NaN          NaN
 54501 SiCN                       1412          NaN          NaN       4.0638       3.9189       3.7071       3.3277       2.9573       2.6338       2.3362          NaN          NaN
 54502 SiNC                       1502          NaN          NaN       4.0132       3.8713       3.6640       3.2901       2.9123       2.5757       2.2759          NaN          NaN
 54503 Propadienone               4169          NaN          NaN       4.8154       4.6282       4.3641       3.9126       3.4610       3.0093       2.5572          NaN          NaN
 54504 Cyclopropenone             4692          NaN          NaN       4.6456       4.4581       4.1940       3.7426       3.2915       2.8411       2.3919       1.9864       1.5929
 54505 Si-30-C2                   1465          NaN          NaN       3.7289       3.5405       3.2755       2.8235       2.3724       1.9226       1.4748          NaN          NaN
 54506 H2C-13-CHCN, v=0          13964          NaN          NaN       4.9120       4.7241       4.4595       4.0076       3.5562       3.1053       2.6553          NaN          NaN
 54507 H2CC-13-HCN, v=0          13960          NaN          NaN       4.9053       4.7173       4.4527       4.0008       3.5494       3.0986       2.6486          NaN          NaN
 54508 H2CCHC-13-N, v=0          13700          NaN          NaN       4.8996       4.7117       4.4471       3.9953       3.5439       3.0930       2.6431          NaN          NaN
 54509 H2CCHCN-15                11704          NaN          NaN       4.4342       4.2463       3.9817       3.5298       3.0784       2.6275       2.1775          NaN          NaN
 54510 Propynal                   9208          NaN          NaN       4.3615       4.1732       3.9083       3.4560       3.0044       2.5535       2.1035          NaN          NaN
 54511 C3O-18                       95          NaN          NaN       3.1361       3.0112       2.8351       2.5342       2.2336       1.9334       1.6341          NaN          NaN
 54512 E-HNCHCN                   9939          NaN          NaN       4.3668       4.1788       3.9141       3.4622       3.0107       2.5599       2.1100       1.7034       1.3135
 54513 Z-HNCHCN                   3308          NaN          NaN       4.3926       4.2046       3.9399       3.4879       3.0365       2.5856       2.1357       1.7292       1.3393
 54514 H2CNCN                     8243          NaN          NaN       4.3263       4.1383       3.8735       3.4215       2.9701       2.5193       2.0696       1.6633       1.2739
 55501 HCOCN                     10103          NaN          NaN       4.3472       4.1590       3.8942       3.4421       2.9906       2.5397       2.0898          NaN          NaN
 55502 C2H5CN, v=0               39010          NaN       4.9059       4.5732       4.3854       4.1209       3.6691       3.2178       2.7669       2.3169          NaN          NaN
 55503 CCP                         922          NaN          NaN       3.7729       3.6176       3.3939       3.0219       2.6959       2.3956       2.0998          NaN          NaN
 55504 C3F                         242          NaN          NaN       4.7361       4.5486       4.2844       3.8329       3.3816       2.9307       2.4806       2.0784       1.7319
 55505 HSiCN                       862          NaN          NaN       4.0409       3.8532       3.5888       3.1372       2.6860       2.2354       1.7859          NaN          NaN
 55506 HSiNC                       717          NaN          NaN       3.9824       3.7945       3.5300       3.0783       2.6270       2.1765       1.7273          NaN          NaN
 56501 HCCP                       1738          NaN          NaN       4.1204       3.9938       3.8144       3.5036       3.1837       2.8469       2.4822          NaN          NaN
 56502 CCS                         449          NaN          NaN       3.4540       3.3264       3.1450       2.8286       2.4980       2.1426       1.7518          NaN          NaN
 56503 ONCN                       1911          NaN          NaN       4.2757       4.0871       3.8219       3.3694       2.9177       2.4668       2.0170          NaN          NaN
 56504 C2H5C-13-N, v=0           23807          NaN       4.9083       4.5756       4.3878       4.1233       3.6715       3.2201       2.7693       2.3192          NaN          NaN
 56505 CH3C-13-H2CN, v=0         24132          NaN       4.9130       4.5803       4.3925       4.1280       3.6762       3.2249       2.7740       2.3239          NaN          NaN
 56506 C-13-H3CH2CN, v=0         24102          NaN       4.9192       4.5864       4.3986       4.1341       3.6823       3.2310       2.7801       2.3300          NaN          NaN
 56507 H2NCH2CN                  17198          NaN          NaN       4.5479       4.3601       4.0956       3.6438       3.1924       2.7416       2.2915          NaN          NaN
 56508 C2H5CN-15                 16405          NaN          NaN       4.5867       4.3989       4.1344       3.6826       3.2312       2.7803       2.3303          NaN          NaN
 56509 CH3CHDCN                  16939          NaN          NaN       4.6064       4.4187       4.1542       3.7025       3.2511       2.8002       2.3502          NaN          NaN
 56510 CH2D(ip)CH2CN             16566          NaN          NaN       4.5993       4.4115       4.1471       3.6953       3.2439       2.7930       2.3429          NaN          NaN
 56511 CH2D(oop)CH2CN            16915          NaN          NaN       4.6075       4.4197       4.1553       3.7035       3.2521       2.8012       2.3512          NaN          NaN
 56512 C-13-CP                    1830          NaN          NaN       4.0935       3.9382       3.7144       3.3424       3.0164       2.7159       2.4199          NaN          NaN
 56513 CC-13-P                    1923          NaN          NaN       4.0761       3.9208       3.6971       3.3251       2.9991       2.6987       2.4030          NaN          NaN
 56514 KOH                          61          NaN          NaN       2.8828       2.7577       2.5815       2.2806       1.9802       1.6807       1.3826          NaN          NaN
 56515 CaO, v=0,1                  140          NaN       2.9547       2.6878       2.5532       2.3732       2.0722       1.7724       1.4738       1.1777          NaN          NaN
 56516 Fe-atom                       4       1.1971       1.0816       1.0075       0.9803       0.9608       0.9544       0.9542       0.9542       0.9542       0.9542       0.9542
 56517 Fe+                           4       1.2681       1.1454       1.0641       1.0329       1.0091       1.0002       1.0000       1.0000       1.0000       1.0000       1.0000
 57501 CaOH                        102          NaN          NaN       3.0968       2.9718       2.7957       2.4950       2.1948       1.8956       1.5983          NaN          NaN
 57502 HDNCH2CN                  13446          NaN          NaN       4.5801       4.3923       4.1278       3.6760       3.2247       2.7738       2.3237          NaN          NaN
 58501 H2C2S                      1407          NaN          NaN       4.2676       4.0800       3.8157       3.3642       2.9125       2.4471       1.9248          NaN          NaN
 58502 NaCl, v=0-4                 607          NaN       3.3988       3.0691       2.9042       2.6960       2.3814       2.0804       1.7805       1.4819          NaN          NaN
 58503 KF, v=0,1                   190          NaN       3.2537       2.9378       2.7808       2.5816       2.2730       1.9725       1.6729       1.3750          NaN          NaN
 58504 NCS                         378          NaN          NaN       3.8716       3.7153       3.5077       3.1907       2.8919       2.5970       2.3083          NaN          NaN
 58505 s-Propanal                13548          NaN          NaN       4.6162       4.4286       4.1642       3.7126       3.2614       2.8106       2.3607          NaN          NaN
 58506 K-41-OH                      62          NaN          NaN       2.8892       2.7641       2.5879       2.2870       1.9866       1.6870       1.3889          NaN          NaN
 58507 CH3CP                      2270          NaN          NaN       4.2704       4.0829       3.8187       3.3673       2.9171       2.4797       2.0693          NaN          NaN
 58508 D2NCH2CN                  14167          NaN          NaN       4.6097       4.4219       4.1574       3.7057       3.2543       2.8034       2.3533          NaN          NaN
 58509 Si2H2, dibridged           2244          NaN          NaN       4.2870       4.0993       3.8350       3.3834       2.9324       2.4821       2.0332       1.6296       1.2652
 58510 Si2H2, monobridged         1109          NaN          NaN       3.8748       3.6869       3.4222       2.9704       2.5192       2.0689       1.6205       1.2319       0.9202
 59501 MgCl                        624          NaN          NaN       3.8344       3.7093       3.5331       3.2322       2.9317       2.6320       2.3336          NaN          NaN
 59502 CaF                         234          NaN          NaN       3.3875       3.2625       3.0863       2.7856       2.4854       2.1862       1.8888          NaN          NaN
 59503 HNCS, a-type                489          NaN       3.9813       3.6451       3.4526       3.1805       2.7185       2.2651       1.8552       1.5280       1.2577       1.0010
 59504 HNCS, b-type                903          NaN       3.9813       3.6451       3.4526       3.1805       2.7185       2.2651       1.8552       1.5280       1.2577       1.0010
 59505 HSCN                       1838          NaN          NaN       3.9545       3.7667       3.5023       3.0507       2.5995       2.1489       1.7006       1.3180       1.0156
 59506 C2Cl                        556          NaN          NaN       3.8996       3.7746       3.5985       3.2977       2.9972       2.6973       2.3986       2.1297       1.8734
 59507 AlS                         816          NaN          NaN       3.9531       3.8281       3.6519       3.3509       3.0502       2.7499       2.4504          NaN          NaN
 60501 CH2(OH)CHO                13561          NaN          NaN       4.5552       4.3676       4.1033       3.6517       3.2005       2.7498       2.3001          NaN          NaN
 60502 NaCl-37, v=0,1              241          NaN          NaN       3.0803       2.9148       2.7059       2.3908       2.0898       1.7899       1.4912          NaN          NaN
 60503 OCS, v=0                     99          NaN       3.2342       3.0123       2.8873       2.7113       2.4105       2.1100       1.8101       1.5113          NaN          NaN
 60504 OCS, v2=1                   249          NaN       3.2342       3.0123       2.8873       2.7113       2.4105       2.1100       1.8101       1.5113          NaN          NaN
 60505 Ga-n-C3H7OH               25403          NaN          NaN       4.6934       4.5056       4.2412       3.7895       3.3381       2.8873       2.4373          NaN          NaN
 60506 SiS, v=0-5                  819       3.5464       3.1152       2.8511       2.7174       2.5379       2.2369       1.9366       1.6373       1.3396          NaN          NaN
 60507 SiS, v=1-0,2-1              557       3.5464       3.1152       2.8511       2.7174       2.5379       2.2369       1.9366       1.6373       1.3396          NaN          NaN
 60508 SiS, v=2-0                  249       3.5464       3.1152       2.8511       2.7174       2.5379       2.2369       1.9366       1.6373       1.3396          NaN          NaN
 60509 Ethylene sulfide           8863          NaN          NaN       4.9051       4.7175       4.4533       4.0020       3.5511       3.1009       2.6523       2.2480       1.8623
 61501 PNO                          99          NaN          NaN       3.0046       2.8796       2.7036       2.4028       2.1023       1.8024       1.5037          NaN          NaN
 61502 OC-13-S                      99          NaN       3.2356       3.0137       2.8887       2.7127       2.4119       2.1114       1.8115       1.5127          NaN          NaN
 61503 OCS-33                       98          NaN       3.8418       3.6198       3.4949       3.3188       3.0180       2.7175       2.4176       2.1188          NaN          NaN
 61504 O-17-CS                      99          NaN       4.0267       3.8048       3.6798       3.5038       3.2030       2.9025       2.6025       2.3037          NaN          NaN
 61505 C5H                        1130          NaN          NaN       4.2956       4.1628       3.9717       3.6293       3.2619       2.8808       2.5298          NaN          NaN
 61506 Si-29-S, v=0-2              420       3.5568       3.1245       2.8595       2.7256       2.5460       2.2449       1.9446       1.6452       1.3475          NaN          NaN
 61507 Si-29-S, v=1-0              264       3.5568       3.1245       2.8595       2.7256       2.5460       2.2449       1.9446       1.6452       1.3475          NaN          NaN
 61508 SiS-33, v=0,1               264       3.5544       3.1223       2.8576       2.7237       2.5441       2.2430       1.9428       1.6434       1.3457          NaN          NaN
 61509 HSCO+                        44          NaN          NaN       3.9696       3.7822       3.5181       3.0667       2.6157       2.1651       1.7165       1.3309       1.0240
 61510 HOCS+                        43          NaN          NaN       3.7416       3.5533       3.2883       2.8361       2.3847       1.9403       1.5527       1.2683       1.0109
 61511 C2Cl-37                     563          NaN          NaN       3.9081       3.7832       3.6071       3.3062       3.0057       2.7058       2.4071       2.1381       1.8816
 61512 HSiS                       4333          NaN          NaN       4.3848       4.1972       3.9328       3.4813       3.0303       2.5801       2.1329       1.7558       1.4610
 61513 CH2(OH)C-13-HO            22497          NaN          NaN       4.5611       4.3735       4.1092       3.6576       3.2064       2.7557       2.3060          NaN          NaN
 61514 C-13-H2(OH)CHO            22546          NaN          NaN       4.5621       4.3745       4.1102       3.6586       3.2074       2.7567       2.3069          NaN          NaN
 62501 l-C5H2                       88          NaN          NaN       4.6612       4.4738       4.2096       3.7582       3.3064       2.8420       2.3218          NaN          NaN
 62502 TiN                         399          NaN          NaN       3.3057       3.1808       3.0049       2.7046       2.4052       2.1076       1.8135          NaN          NaN
 62503 aGg' glycol               33126          NaN          NaN       5.8492       5.6614       5.3967       4.9445       4.4922       4.0395       3.5858          NaN          NaN
 62504 gGg' glycol               38066          NaN          NaN       5.8544       5.6665       5.4020       4.9502       4.4987       4.0475       3.5968          NaN          NaN
 62505 OCS-34                       99          NaN       3.2449       3.0230       2.8981       2.7220       2.4212       2.1207       1.8208       1.5219          NaN          NaN
 62506 O-18-CS                      99          NaN       3.2619       3.0400       2.9151       2.7390       2.4382       2.1377       1.8377       1.5388          NaN          NaN
 62507 OC-13-S-33                   98          NaN       3.8432       3.6213       3.4964       3.3203       3.0195       2.7190       2.4191       2.1203          NaN          NaN
 62508 SiS-34, v=0-2               421       3.5619       3.1290       2.8637       2.7297       2.5500       2.2489       1.9486       1.6492       1.3515          NaN          NaN
 62509 SiS-34, v=1-0               265       3.5619       3.1290       2.8637       2.7297       2.5500       2.2489       1.9486       1.6492       1.3515          NaN          NaN
 62510 Si-30-S, v=0-2              423       3.5666       3.1332       2.8676       2.7334       2.5536       2.2525       1.9523       1.6528       1.3550          NaN          NaN
 62511 Si-30-S, v=1-0              266       3.5666       3.1332       2.8676       2.7334       2.5536       2.2525       1.9523       1.6528       1.3550          NaN          NaN
 62512 Si-29-S-33                  125          NaN       3.1316       2.8662       2.7320       2.5523       2.2512       1.9509       1.6515       1.3537          NaN          NaN
 62513 H2SiS                      1190          NaN          NaN       4.2348       4.0472       3.7828       3.3313       2.8804       2.4286       1.9550       1.4710       0.9930
 62514 C4N                         392          NaN          NaN       4.4607       4.3263       4.1320       3.7821       3.4074       3.0299       2.6942       2.4209       2.1641
 62515 t-HC(O)SH                  7897          NaN          NaN       4.2809       4.0932       3.8289       3.3774       2.9262       2.4756       2.0261          NaN          NaN
 62516 c-HC(O)SH                  8974          NaN          NaN       4.2769       4.0893       3.8249       3.3734       2.9222       2.4717       2.0222          NaN          NaN
 63501 l-HC4N                      319          NaN          NaN       4.6884       4.5632       4.3866       4.0842       3.7803       3.4737       3.1618          NaN          NaN
 63502 OC-13-S-34                   99          NaN       3.2465       3.0246       2.8996       2.7236       2.4228       2.1223       1.8223       1.5235          NaN          NaN
 63503 O-18-C-13-S                  99          NaN       3.2630       3.0411       2.9161       2.7401       2.4393       2.1387       1.8388       1.5398          NaN          NaN
 63504 Si-29-S-34, v=0,1           254       3.5725       3.1385       2.8725       2.7381       2.5583       2.2572       1.9569       1.6574       1.3596          NaN          NaN
 63505 Si-30-S-33                  126          NaN       3.1405       2.8743       2.7399       2.5601       2.2589       1.9586       1.6592       1.3613          NaN          NaN
 63506 c-C3HCN                    7150          NaN          NaN       5.1286       4.9410       4.6767       4.2252       3.7738       3.3228       2.8724       2.4650       2.0733
 64501 p-c-SiC3                   2806          NaN          NaN       4.0850       3.8995       3.6360       3.1846       2.7336       2.2830       1.8334          NaN          NaN
 64502 SO2, v=0                  14754          NaN       4.1935       3.8067       3.5999       3.3231       2.8687       2.4177       1.9677       1.5194       1.1157       0.7309
 64503 SO2, v2=1                  9808          NaN       4.1935       3.8067       3.5999       3.3231       2.8687       2.4177       1.9677       1.5194          NaN          NaN
 64504 TiO                         223       3.8354       3.4810       3.1976       3.0289       2.7829       2.3696       2.0161       1.7170       1.4389       1.2057       1.0115
 64505 l-SiC3                      408          NaN          NaN       3.8339       3.7087       3.5323       3.2304       2.9278       2.6236       2.3168          NaN          NaN
 64506 CuH                          22          NaN          NaN       1.4331       1.3095       1.1367       0.8462       0.5670       0.3109       0.1059          NaN          NaN
 64507 CH3C4H                     2026          NaN          NaN       4.6583       4.4708       4.2066       3.7550       3.3046       2.8669       2.4556       2.0990       1.7773
 64508 ScF                          80          NaN          NaN       2.7246       2.5996       2.4236       2.1230       1.8230       1.5241       1.2274          NaN          NaN
 64509 H2C4N                       594          NaN          NaN       5.4532       5.2656       5.0013       4.5496       4.0987       3.6620       3.2717          NaN          NaN
 64510 OCS-36                       99          NaN       3.2548       3.0329       2.9079       2.7319       2.4311       2.1306       1.8306       1.5317          NaN          NaN
 64511 O-18-CS-34                   99          NaN       3.2731       3.0512       2.9263       2.7502       2.4494       2.1488       1.8488       1.5499          NaN          NaN
 64512 SO2, nu2                   7603          NaN       4.1935       3.8067       3.5999       3.3231       2.8687       2.4177       1.9677       1.5194          NaN          NaN
 64513 Si-30-S-34, v=0,1           258       3.5826       3.1476       2.8808       2.7462       2.5662       2.2650       1.9647       1.6652       1.3674          NaN          NaN
 64514 SiS-36                      126          NaN       3.1417       2.8754       2.7409       2.5611       2.2599       1.9596       1.6602       1.3623          NaN          NaN
 64515 KCCH                        115          NaN          NaN       3.3242       3.1990       3.0227       2.7216       2.4207       2.1201       1.8202          NaN          NaN
 64516 o-c-SiC3                    435          NaN          NaN       4.1805       3.9929       3.7286       3.2770       2.8259       2.3754       1.9260       1.5204       1.1320
 65501 S-33-O2                   19067          NaN          NaN       4.3781       4.1904       3.9260       3.4745       3.0236       2.5736       2.1253          NaN          NaN
 65502 SOO-17                     7476          NaN       5.2010       4.8674       4.6797       4.4153       3.9638       3.5128       3.0628       2.6144          NaN          NaN
 65503 CH3C3N                     1813          NaN          NaN       4.6534       4.4659       4.2017       3.7501       3.2997       2.8617       2.4502       2.0935       1.7715
 65504 ZnH                         168          NaN          NaN       2.1116       1.9877       1.8141       1.5217       1.2387       0.9749       0.7518          NaN          NaN
 65505 CH3CCNC                    1438          NaN          NaN       4.6281       4.4406       4.1764       3.7248       3.2743       2.8362       2.4246          NaN          NaN
 65506 H2CCCHCN                  11550          NaN          NaN       5.3057       5.1171       4.8518       4.3991       3.9471       3.4957       3.0450          NaN          NaN
 65507 Si-29-S-36                  120          NaN       3.1514       2.8843       2.7496       2.5696       2.2684       1.9681       1.6686       1.3707          NaN          NaN
 65508 KCN                        3363          NaN          NaN       4.3887       4.2004       3.9353       3.4829       3.0313       2.5804       2.1304          NaN          NaN
 65509 HS2                        8575          NaN          NaN       4.4128       4.2251       3.9608       3.5094       3.0586       2.6086       2.1617          NaN          NaN
 65510 cis-HOSO+                  4618          NaN          NaN       4.1700       3.9824       3.7180       3.2666       2.8156       2.3655       1.9169       1.5127       1.1269
 65511 CaCCH                       198          NaN          NaN       3.5666       3.4416       3.2654       2.9644       2.6636       2.3631       2.0633          NaN          NaN
 66501 S-34-O2                   11896          NaN          NaN       3.7797       3.5919       3.3276       2.8761       2.4252       1.9752       1.5268          NaN          NaN
 66502 SOO-18                    11511          NaN          NaN       4.1040       3.9163       3.6520       3.2004       2.7495       2.2994       1.8509          NaN          NaN
 66503 CaNC                       1005          NaN          NaN       3.9680       3.8430       3.6667       3.3655       3.0646       2.7642       2.4647          NaN          NaN
 66504 Cu-65-H                      22          NaN          NaN       1.4333       1.3097       1.1369       0.8464       0.5672       0.3111       0.1060          NaN          NaN
 66505 Si-30-S-36                  121          NaN       3.1607       2.8929       2.7579       2.5777       2.2764       1.9761       1.6766       1.3786          NaN          NaN
 66506 H2C(CN)2                  13537          NaN          NaN       5.6208       5.4327       5.1678       4.7155       4.2638       3.8125       3.3619          NaN          NaN
 67501 Zn-66-H                     168          NaN          NaN       2.1118       1.9879       1.8143       1.5219       1.2389       0.9750       0.7519          NaN          NaN
 67502 NCHCCO                     8067          NaN          NaN       4.7830       4.5945       4.3291       3.8764       3.4244       2.9730       2.5222          NaN          NaN
 67503 c-C3H5CN                  24752          NaN          NaN       4.8162       4.6286       4.3642       3.9126       3.4612       3.0102       2.5598          NaN          NaN
 68501 FeC                         131          NaN          NaN       2.9436       2.7708       2.5442       2.2146       1.9281       1.6629       1.4310          NaN          NaN
 68502 HC3P                        199          NaN          NaN       3.3719       3.2469       3.0708       2.7699       2.4691       2.1685       1.8685          NaN          NaN
 68503 C3S, v=0                    170          NaN          NaN       3.3352       3.2103       3.0342       2.7332       2.4325       2.1320       1.8320       1.5609       1.3006
 68504 C3O2, nu7                   201          NaN          NaN       3.8508       3.7055       3.4904       3.0842       2.6201       2.1282       1.6863          NaN          NaN
 68505 C3S, v5=1                   328          NaN          NaN       3.3352       3.2103       3.0342       2.7332       2.4325       2.1320       1.8320          NaN          NaN
 68506 H2CNCH2CN                 19653          NaN          NaN       4.8623       4.6746       4.4101       3.9584       3.5069       3.0559       2.6054          NaN          NaN
 69501 NC2P                        199          NaN          NaN       3.3641       3.2391       3.0630       2.7621       2.4613       2.1608       1.8607          NaN          NaN
 69502 CC-13-CS                    146          NaN          NaN       3.3396       3.2146       3.0385       2.7376       2.4368       2.1363       1.8363       1.5652       1.3049
 69503 C-13-CCS                    148          NaN          NaN       3.3516       3.2267       3.0506       2.7497       2.4489       2.1483       1.8483       1.5771       1.3168
 69504 Zn-68-H                     168          NaN          NaN       2.1120       1.9881       1.8145       1.5221       1.2391       0.9752       0.7521          NaN          NaN
 69505 n-C3H7CN                  65168          NaN          NaN       5.4050       5.2099       4.9319       4.4469       3.9541       3.4726       3.0137          NaN          NaN
 69506 i-C3H7CN                  41106          NaN          NaN       4.9632       4.7756       4.5112       4.0595       3.6080       3.1570       2.7064          NaN          NaN
 69507 CCC-13-S                    145          NaN          NaN       3.3352       3.2103       3.0342       2.7332       2.4325       2.1320       1.8320       1.5609       1.3006
 70501 NiC                          40          NaN          NaN       2.5156       2.3907       2.2147       1.9144       1.6151       1.3176       1.0236          NaN          NaN
 70502 C3S-34                      147          NaN          NaN       3.3459       3.2209       3.0448       2.7439       2.4431       2.1426       1.8426       1.5714       1.3111
 70503 H2C3S                      1373          NaN          NaN       4.5614       4.3738       4.1095       3.6579       3.2044       2.7237       2.1767          NaN          NaN
 70504 NCCONH2                   27956          NaN          NaN       4.8549       4.6672       4.4029       3.9512       3.4998       3.0488       2.5984          NaN          NaN
 70505 CH3CH(NH2)CN              29783          NaN          NaN       4.9487       4.7610       4.4966       4.0449       3.5935       3.1424       2.6919          NaN          NaN
 70506 CC-13-C-13-S                136          NaN          NaN       3.3396       3.2146       3.0385       2.7376       2.4368       2.1363       1.8363       1.5652       1.3049
 70507 C-13-CC-13-S                138          NaN          NaN       3.3516       3.2267       3.0506       2.7497       2.4489       2.1483       1.8483       1.5771       1.3168
 71501 CoC                         811          NaN          NaN       3.6825       3.5574       3.3810       3.0796       2.7780       2.4760       2.1731          NaN          NaN
 71502 C3Cl                        779          NaN          NaN       5.2610       5.0736       4.8094       4.3578       3.9065       3.4554       3.0049       2.6002       2.2433
 71503 CCC-13-S-34                 137          NaN          NaN       3.3459       3.2209       3.0448       2.7439       2.4431       2.1426       1.8426       1.5714       1.3111
 71504 CC-13-CS-34                 138          NaN          NaN       3.3504       3.2255       3.0494       2.7484       2.4476       2.1471       1.8471       1.5759       1.3156
 71505 C-13-CCS-34                 140          NaN          NaN       3.3624       3.2375       3.0614       2.7604       2.4596       2.1591       1.8591       1.5878       1.3274
 72501 CaS, v=0,1                  222          NaN       3.4316       3.1251       2.9726       2.7779       2.4716       2.1709       1.8708       1.5718          NaN          NaN
 72502 s-cis-Propenoic acid       9557          NaN          NaN       4.8628       4.6753       4.4111       3.9595       3.5082       3.0571       2.6067          NaN          NaN
 72503 s-trans-Propenoic acid     8722          NaN          NaN       4.8604       4.6728       4.4086       3.9570       3.5057       3.0547       2.6043          NaN          NaN
 73501 C6H                         788          NaN          NaN       4.5402       4.4102       4.2241       3.8949       3.5445       3.1699       2.7951          NaN          NaN
 73502 C6H-                        160          NaN          NaN       3.6572       3.5322       3.3561       3.0551       2.7542       2.4535       2.1529          NaN          NaN
 74501 C5N                        1054          NaN          NaN       4.4271       4.3022       4.1261       3.8251       3.5242       3.2234       2.9229          NaN          NaN
 74502 l-C6H2                       88          NaN          NaN       4.8865       4.6991       4.4350       3.9835       3.5315       3.0655       2.5417          NaN          NaN
 74503 aa-diethyl ether          21876          NaN          NaN       4.9793       4.7918       4.5275       4.0758       3.6244       3.1732       2.7224          NaN          NaN
